## object_type
# 1: Comida
# 2: Arma
# 3: Armadura
# 4: Arbol
# 5: Dinero
# 6: Puerta
# 7: Contenedor
# 8: Cartel
# 9: Llave
# 10: Foro
# 11: Pocion
# 12: Libro
# 13: Bebida
# 14: Leña
# 15: Fogata
# 16: Escudo
# 17: Casco
# 18: Anillo
# 19: Teletransporte
# 20: Mueble
# 21: Joya
# 22: Yacimiento
# 23: Metal
# 24: Pergamino
# 25: Aura
# 26: Instrumento musical
# 27: Yunque
# 28: Fragua
# 29: Gema
# 30: Flor
# 31: Barco
# 32: Flecha
# 33: Botella vacia
# 34: Botella llena
# 35: Mancha

## potion_type
# 1: Aumenta la agilidad
# 2: Aumenta la fuerza
# 3: Repone vida
# 4: Repone mana
# 5: Cura el envenenamiento

# TODO Claves no especificadas en el codigo: RazaEnanaAnim, IndexCerradaLlave, CantItems, NroItems, MinST, Real, Mujer, Upgrade, Caos, Log
# TODO Cuidado con las 'ñ'

[INIT]
object_count = 1052
name = Invisibilidad
graphic_index = 609
object_type = 24
value = 210000
spell_index = 14

[OBJ319]
name = Resucitar
graphic_index = 609
object_type = 24
value = 290000
spell_index = 11

# Casa 10 de Banderbill
[OBJ320]
name = Puerta abierta
graphic_index = 9201
object_type = 6
pickupable = 0
open = 1
key = 37
open_index = 320
closed_index = 321
IndexCerradaLlave = 322

[OBJ321]
name = Puerta cerrada
graphic_index = 9195
object_type = 6
pickupable = 0
key = 37
open_index = 320
closed_index = 321
IndexCerradaLlave = 322

[OBJ322]
name = Puerta cerrada
graphic_index = 9195
object_type = 6
pickupable = 0
locked = 1
key = 37
open_index = 320
closed_index = 321
IndexCerradaLlave = 322

[OBJ323]
name = Llave Banderbill Casa Nro 10
graphic_index = 509
object_type = 9
key = 37
value = 8000000
respawnable = 0

# Casa 11 de Banderbill
[OBJ324]
name = Puerta abierta
graphic_index = 9201
object_type = 6
pickupable = 0
open = 1
key = 38
open_index = 324
closed_index = 325
IndexCerradaLlave = 326

[OBJ325]
name = Puerta cerrada
graphic_index = 9195
object_type = 6
pickupable = 0
key = 38
open_index = 324
closed_index = 325
IndexCerradaLlave = 326

[OBJ326]
name = Puerta cerrada
graphic_index = 9195
object_type = 6
pickupable = 0
locked = 1
key = 38
open_index = 324
closed_index = 325
IndexCerradaLlave = 326

[OBJ327]
name = Llave Banderbill Casa Nro 11
graphic_index = 509
object_type = 9
key = 38
value = 9000000
respawnable = 0

# Casa 12 de Banderbill
[OBJ328]
name = Puerta abierta
graphic_index = 9201
object_type = 6
pickupable = 0
open = 1
key = 39
open_index = 328
closed_index = 329
IndexCerradaLlave = 330

[OBJ329]
name = Puerta cerrada
graphic_index = 9195
object_type = 6
pickupable = 0
key = 39
open_index = 328
closed_index = 329
IndexCerradaLlave = 330

[OBJ330]
name = Puerta cerrada
graphic_index = 9195
object_type = 6
pickupable = 0
locked = 1
key = 39
open_index = 328
closed_index = 329
IndexCerradaLlave = 330

[OBJ331]
name = Llave Banderbill Casa Nro 12
graphic_index = 509
object_type = 9
key = 39
value = 8000000
respawnable = 0

# Casa 13 de Banderbill
[OBJ332]
name = Puerta abierta
graphic_index = 9201
object_type = 6
pickupable = 0
open = 1
key = 40
open_index = 332
closed_index = 333
IndexCerradaLlave = 334

[OBJ333]
name = Puerta cerrada
graphic_index = 9195
object_type = 6
pickupable = 0
key = 40
open_index = 332
closed_index = 333
IndexCerradaLlave = 334

[OBJ334]
name = Puerta cerrada
graphic_index = 9195
object_type = 6
pickupable = 0
locked = 1
key = 40
open_index = 332
closed_index = 333
IndexCerradaLlave = 334

[OBJ335]
name = Llave Banderbill Casa Nro 13
graphic_index = 509
object_type = 9
key = 40
value = 8000000
respawnable = 0

# Casa 14 de Banderbill
[OBJ336]
name = Puerta abierta
graphic_index = 9201
object_type = 6
pickupable = 0
open = 1
key = 41
open_index = 336
closed_index = 337
IndexCerradaLlave = 338

[OBJ337]
name = Puerta cerrada
graphic_index = 9195
object_type = 6
pickupable = 0
key = 41
open_index = 336
closed_index = 337
IndexCerradaLlave = 338

[OBJ338]
name = Puerta cerrada
graphic_index = 9195
object_type = 6
pickupable = 0
locked = 1
key = 41
open_index = 336
closed_index = 337
IndexCerradaLlave = 338

[OBJ339]
name = Llave Banderbill Casa Nro 14
graphic_index = 509
object_type = 9
key = 41
value = 10000000
respawnable = 0

# Casa 15 de Banderbill
[OBJ340]
name = Puerta abierta
graphic_index = 9201
object_type = 6
pickupable = 0
open = 1
key = 42
open_index = 340
closed_index = 341
IndexCerradaLlave = 342

[OBJ341]
name = Puerta cerrada
graphic_index = 9195
object_type = 6
pickupable = 0
key = 42
open_index = 340
closed_index = 341
IndexCerradaLlave = 342

[OBJ342]
name = Puerta cerrada
graphic_index = 9195
object_type = 6
pickupable = 0
locked = 1
key = 42
open_index = 340
closed_index = 341
IndexCerradaLlave = 342

[OBJ343]
name = Llave Banderbill Casa Nro 15
graphic_index = 509
object_type = 9
key = 42
value = 2500000
respawnable = 0

# Casa 16 de Banderbill
[OBJ344]
name = Puerta abierta
graphic_index = 9201
object_type = 6
pickupable = 0
open = 1
key = 43
open_index = 344
closed_index = 345
IndexCerradaLlave = 346

[OBJ345]
name = Puerta cerrada
graphic_index = 9195
object_type = 6
pickupable = 0
key = 43
open_index = 344
closed_index = 345
IndexCerradaLlave = 346

[OBJ346]
name = Puerta cerrada
graphic_index = 9195
object_type = 6
pickupable = 0
locked = 1
key = 43
open_index = 344
closed_index = 345
IndexCerradaLlave = 346

[OBJ347]
name = Llave Banderbill Casa Nro 16
graphic_index = 509
object_type = 9
key = 43
value = 2500000
respawnable = 0

# Casa 17 de Banderbill

[OBJ348]
name = Puerta abierta
graphic_index = 9201
object_type = 6
pickupable = 0
open = 1
key = 44
open_index = 348
closed_index = 349
IndexCerradaLlave = 350

[OBJ349]
name = Puerta cerrada
graphic_index = 9195
object_type = 6
pickupable = 0
key = 44
open_index = 348
closed_index = 349
IndexCerradaLlave = 350

[OBJ350]
name = Puerta cerrada
graphic_index = 9195
object_type = 6
pickupable = 0
locked = 1
key = 44
open_index = 348
closed_index = 349
IndexCerradaLlave = 350

[OBJ351]
name = Llave Banderbill Casa Nro 17
graphic_index = 509
object_type = 9
key = 44
value = 2500000
respawnable = 0

# Casa 18 de Banderbill
[OBJ352]
name = Puerta abierta
graphic_index = 9201
object_type = 6
pickupable = 0
open = 1
key = 45
open_index = 352
closed_index = 353
IndexCerradaLlave = 354

[OBJ353]
name = Puerta cerrada
graphic_index = 9195
object_type = 6
pickupable = 0
key = 45
open_index = 352
closed_index = 353
IndexCerradaLlave = 354

[OBJ354]
name = Puerta cerrada
graphic_index = 9195
object_type = 6
pickupable = 0
locked = 1
key = 45
open_index = 352
closed_index = 353
IndexCerradaLlave = 354

[OBJ355]
name = Llave Banderbill Casa Nro 18
graphic_index = 509
object_type = 9
key = 45
value = 2500000
respawnable = 0

#-------------------------------------------------------

[OBJ356]
name = Armadura de las Sombras
graphic_index = 680
object_type = 3
equipped_armor_graphic = 48
max_armor_defense = 37
min_armor_defense = 30
value = 23030
forbidden_archetype1 = MAGO
forbidden_archetype2 = DRUIDA
forbidden_archetype3 = BARDO
forbidden_archetype4 = PIRATA
forbidden_archetype5 = CAZADOR
forbidden_archetype6 = GUERRERO
forbidden_archetype7 = PALADIN
forbidden_archetype8 = BANDIDO
forbidden_archetype9 = CLERIGO
forbidden_archetype10 = LADRON
forbidden_archetype11 = TRABAJADOR
iron_ingot = 329
smithing_skill = 75

[OBJ357]
name = Tunica de Monje
graphic_index = 693
object_type = 3
equipped_armor_graphic = 79
max_armor_defense = 20
min_armor_defense = 15
value = 10500

[OBJ358]
name = Teleport a Banderbill
graphic_index = 669
object_type = 19
pickupable = 0

[OBJ359]
name = Cota de Mallas
graphic_index = 682
object_type = 3
equipped_armor_graphic = 57
max_armor_defense = 22
min_armor_defense = 12
value = 7350
forbidden_archetype1 = MAGO
forbidden_archetype2 = DRUIDA
forbidden_archetype3 = BARDO
iron_ingot = 105
smithing_skill = 65

[OBJ360]
name = Armadura de Cazador
graphic_index = 683
object_type = 3
equipped_armor_graphic = 58
max_armor_defense = 20
min_armor_defense = 10
value = 17000
forbidden_archetype1 = PIRATA
forbidden_archetype2 = MAGO
forbidden_archetype3 = PALADIN
forbidden_archetype4 = CLERIGO
forbidden_archetype5 = ASESINO
forbidden_archetype6 = LADRON
forbidden_archetype7 = BANDIDO
forbidden_archetype8 = GUERRERO
forbidden_archetype9 = BARDO
forbidden_archetype10 = DRUIDA
forbidden_archetype11 = TRABAJADOR

[OBJ361]
name = Tormenta de Fuego
graphic_index = 609
object_type = 24
value = 32000
spell_index = 15

[OBJ362]
name = Tambor
graphic_index = 684
object_type = 26
value = 2200
respawnable = 0
sound1 = 48
sound2 = 48
sound3 = 48
wood = 800
carpentry_skill = 75

[OBJ363]
name = Ataque de Hambre
graphic_index = 609
object_type = 24
value = 100
spell_index = 12

[OBJ364]
name = Terrible Hambre de Igor
graphic_index = 609
object_type = 24
value = 350
spell_index = 13

[OBJ365]
name = Daga +2
graphic_index = 710
object_type = 2
equipped_weapon_graphic = 35
RazaEnanaAnim = 50
min_hit = 3
max_hit = 6
stabbing = 1
value = 1960
respawnable = 0
iron_ingot = 28
Upgrade = 366
smithing_skill = 35

[OBJ366]
name = Daga +3
graphic_index = 711
object_type = 2
equipped_weapon_graphic = 36
RazaEnanaAnim = 51
min_hit = 4
max_hit = 7
stabbing = 1
value = 2660
respawnable = 0
forbidden_archetype1 = GUERRERO
forbidden_archetype2 = PIRATA
iron_ingot = 38
Upgrade = 367
smithing_skill = 50

[OBJ367]
name = Daga +4
graphic_index = 5595
object_type = 2
equipped_weapon_graphic = 52
RazaEnanaAnim = 53
min_hit = 5
max_hit = 8
stabbing = 1
value = 3500
respawnable = 0
forbidden_archetype1 = PIRATA
forbidden_archetype2 = MAGO
forbidden_archetype3 = PALADIN
forbidden_archetype4 = CLERIGO
forbidden_archetype5 = CAZADOR
forbidden_archetype6 = LADRON
forbidden_archetype7 = BANDIDO
forbidden_archetype8 = GUERRERO
forbidden_archetype9 = BARDO
forbidden_archetype10 = DRUIDA
forbidden_archetype11 = TRABAJADOR
iron_ingot = 50
smithing_skill = 75

[OBJ368]
name = Lapida
graphic_index = 513
big_graphic = 514
object_type = 8
pickupable = 0
text = Aqui yace Altair de Oteren. Fue conocido y amado por todos, sobre todo en Nix donde siempre mostraba su generosidad y su paciencia con los newbies, ayudando con todo lo que tenia a todos, pescando por horas para dar a los demas. Altair, descansa en paz... el pueblo de Nix siempre honrara tu memoria.

[OBJ369]
name = Armadura Legionaria
graphic_index = 691
object_type = 3
equipped_armor_graphic = 77
Caos = 1
max_armor_defense = 13
min_armor_defense = 7
value = 3010
forbidden_archetype1 = DRUIDA
forbidden_archetype2 = CLERIGO
forbidden_archetype3 = BARDO
forbidden_archetype4 = MAGO
iron_ingot = 43
smithing_skill = 35

[OBJ370]
name = Capucha de Cazador
graphic_index = 467
object_type = 17
equipped_armor_graphic = 2
equipped_weapon_graphic = 9
max_armor_defense = 14
min_armor_defense = 6
value = 4550
respawnable = 0
forbidden_archetype1 = PIRATA
forbidden_archetype2 = MAGO
forbidden_archetype3 = PALADIN
forbidden_archetype4 = CLERIGO
forbidden_archetype5 = ASESINO
forbidden_archetype6 = LADRON
forbidden_archetype7 = BANDIDO
forbidden_archetype8 = GUERRERO
forbidden_archetype9 = BARDO
forbidden_archetype10 = DRUIDA
forbidden_archetype11 = TRABAJADOR

[OBJ371]
name = Tumba de Nebeth
graphic_index = 513
big_graphic = 514
object_type = 8
pickupable = 0
text = Bajo este marmol descansan los restos del Dios Nebeth, ese pequeño demiurgo de grandes sueños.

[OBJ372]
name = Manto de Sacerdote del Imperio
graphic_index = 759
object_type = 3
equipped_armor_graphic = 92
max_armor_defense = 12
min_armor_defense = 6
value = 2900
Real = 1
forbidden_archetype1 = GUERRERO
forbidden_archetype2 = PALADIN
forbidden_archetype3 = CAZADOR
forbidden_archetype4 = ASESINO
forbidden_archetype5 = PIRATA
forbidden_archetype6 = BANDIDO
forbidden_archetype7 = MAGO
forbidden_archetype8 = LADRON
forbidden_archetype9 = TRABAJADOR

# Puerta Isla Beleta
[OBJ373]
name = Puerta abierta
graphic_index = 9201
object_type = 6
pickupable = 0
open = 1
key = 49
open_index = 373
closed_index = 374
IndexCerradaLlave = 375

[OBJ374]
name = Puerta cerrada
graphic_index = 9195
object_type = 6
pickupable = 0
key = 49
open_index = 373
closed_index = 374
IndexCerradaLlave = 375

[OBJ375]
name = Puerta cerrada
graphic_index = 9195
object_type = 6
pickupable = 0
locked = 1
key = 49
open_index = 373
closed_index = 374
IndexCerradaLlave = 375

[OBJ376]
name = Llave Isla Beleta
graphic_index = 509
object_type = 9
key = 49
respawnable = 0

#-------------------------------------------------------

[OBJ377]
name = Foro
forum_name = Beleta
graphic_index = 529
object_type = 10
pickupable = 0

[OBJ378]
name = Teleport
graphic_index = 669
object_type = 19
pickupable = 0

[OBJ379]
name = Armadura Legionaria (E/G)
graphic_index = 695
object_type = 3
equipped_armor_graphic = 81
dwarf = 1
Caos = 1
max_armor_defense = 13
min_armor_defense = 7
value = 3010
forbidden_archetype1 = MAGO
iron_ingot = 43
smithing_skill = 35

[OBJ380]
name = Invocacion de Ultratumba
graphic_index = 609
object_type = 24
value = 100000
spell_index = 33

[OBJ381]
name = Tunica Antigua
graphic_index = 571
object_type = 3
equipped_armor_graphic = 38
max_armor_defense = 15
min_armor_defense = 6
value = 3400

[OBJ382]
name = Vestido Azul (H/E/EO-M)
graphic_index = 694
object_type = 3
equipped_armor_graphic = 80
Mujer = 1
max_armor_defense = 3
min_armor_defense = 2
value = 275

[OBJ383]
name = Sombrero Magico
graphic_index = 18994
object_type = 17
equipped_armor_graphic = 2
equipped_weapon_graphic = 7
max_armor_defense = 1
min_armor_defense = 1
min_magic_defense = 7
max_magic_defense = 10
value = 10000
forbidden_archetype1 = PIRATA
forbidden_archetype2 = CAZADOR
forbidden_archetype3 = PALADIN
forbidden_archetype4 = CLERIGO
forbidden_archetype5 = ASESINO
forbidden_archetype6 = LADRON
forbidden_archetype7 = BANDIDO
forbidden_archetype8 = GUERRERO
forbidden_archetype9 = BARDO
forbidden_archetype10 = DRUIDA
forbidden_archetype11 = TRABAJADOR

[OBJ384]
name = Yunque
graphic_index = 600
object_type = 27
pickupable = 0

[OBJ385]
name = Fragua
graphic_index = 722
object_type = 28
pickupable = 0

[OBJ386]
name = Lingote de Hierro
graphic_index = 724
object_type = 29
value = 70
respawnable = 0

[OBJ387]
name = Lingote de Plata
graphic_index = 725
object_type = 29
value = 120
respawnable = 0

[OBJ388]
name = Lingote de Oro
graphic_index = 723
object_type = 29
value = 350
respawnable = 0

[OBJ389]
name = Martillo de Herrero
graphic_index = 726
object_type = 2
equipped_weapon_graphic = 29
RazaEnanaAnim = 75
min_hit = 2
max_hit = 2
value = 140
iron_ingot = 2
smithing_skill = 20

[OBJ390]
name = Armadura de Placas Completa +1
graphic_index = 3226
object_type = 3
equipped_armor_graphic = 194
max_armor_defense = 45
min_armor_defense = 40
value = 35350
respawnable = 0
forbidden_archetype1 = MAGO
forbidden_archetype2 = DRUIDA
forbidden_archetype3 = LADRON
forbidden_archetype4 = BARDO
forbidden_archetype5 = PIRATA
forbidden_archetype6 = ASESINO
forbidden_archetype7 = TRABAJADOR
iron_ingot = 505
Upgrade = 391
smithing_skill = 85

[OBJ391]
name = Armadura de Placas Completa +2
graphic_index = 3253
object_type = 3
equipped_armor_graphic = 195
max_armor_defense = 50
min_armor_defense = 45
value = 47600
respawnable = 0
forbidden_archetype1 = MAGO
forbidden_archetype2 = DRUIDA
forbidden_archetype3 = LADRON
forbidden_archetype4 = BARDO
forbidden_archetype5 = PIRATA
forbidden_archetype6 = ASESINO
forbidden_archetype7 = TRABAJADOR
iron_ingot = 680
smithing_skill = 90

[OBJ392]
name = Armadura de Placas Completa +1 (E/G)
graphic_index = 3156
object_type = 3
equipped_armor_graphic = 192
dwarf = 1
max_armor_defense = 45
min_armor_defense = 40
value = 35350
respawnable = 0
forbidden_archetype1 = MAGO
forbidden_archetype2 = DRUIDA
forbidden_archetype3 = LADRON
forbidden_archetype4 = BARDO
forbidden_archetype5 = PIRATA
forbidden_archetype6 = ASESINO
forbidden_archetype7 = TRABAJADOR
iron_ingot = 505
Upgrade = 393
smithing_skill = 85

[OBJ393]
name = Armadura de Placas Completa +2 (E/G)
graphic_index = 3155
object_type = 3
equipped_armor_graphic = 191
dwarf = 1
max_armor_defense = 50
min_armor_defense = 45
value = 47600
respawnable = 0
forbidden_archetype1 = MAGO
forbidden_archetype2 = DRUIDA
forbidden_archetype3 = LADRON
forbidden_archetype4 = BARDO
forbidden_archetype5 = PIRATA
forbidden_archetype6 = ASESINO
forbidden_archetype7 = TRABAJADOR
iron_ingot = 680
smithing_skill = 90

[OBJ394]
name = Llamado a la Naturaleza
graphic_index = 609
object_type = 24
value = 15000
spell_index = 16

[OBJ395]
name = Llamado Nigromante
graphic_index = 609
object_type = 24
value = 40000
spell_index = 17

[OBJ396]
name = Celeridad
graphic_index = 609
object_type = 24
value = 12050
spell_index = 18

[OBJ397]
name = Torpeza
graphic_index = 609
object_type = 24
value = 13450
spell_index = 19

[OBJ398]
name = Garrote
graphic_index = 714
object_type = 2
equipped_weapon_graphic = 4
RazaEnanaAnim = 70
min_hit = 1
max_hit = 3
value = 100
forbidden_archetype1 = MAGO
forbidden_archetype2 = DRUIDA
forbidden_archetype3 = LADRON
forbidden_archetype4 = BARDO

[OBJ399]
name = Cimitarra
graphic_index = 709
object_type = 2
equipped_weapon_graphic = 5
RazaEnanaAnim = 71
min_hit = 7
max_hit = 13
value = 3500
respawnable = 0
forbidden_archetype1 = MAGO
forbidden_archetype2 = DRUIDA
forbidden_archetype3 = LADRON
forbidden_archetype4 = PIRATA
iron_ingot = 50
smithing_skill = 59

[OBJ400]
name = Vara de Mago
graphic_index = 715
object_type = 2
equipped_weapon_graphic = 6
RazaEnanaAnim = 58
min_hit = 5
max_hit = 15
magic_power = 2
magical_weapon = 1
staff_damage_bonus = 38
value = 85500
respawnable = 0
forbidden_archetype1 = PIRATA
forbidden_archetype2 = CAZADOR
forbidden_archetype3 = PALADIN
forbidden_archetype4 = CLERIGO
forbidden_archetype5 = ASESINO
forbidden_archetype6 = LADRON
forbidden_archetype7 = BANDIDO
forbidden_archetype8 = GUERRERO
forbidden_archetype9 = BARDO
forbidden_archetype10 = DRUIDA
forbidden_archetype11 = TRABAJADOR
iron_ingot = 50
silver_ingot = 100
gold_ingot = 200
smithing_skill = 90

[OBJ401]
name = Martillo de Guerra
graphic_index = 708
object_type = 2
equipped_weapon_graphic = 28
RazaEnanaAnim = 77
min_hit = 6
max_hit = 11
value = 2310
forbidden_archetype1 = MAGO
forbidden_archetype2 = DRUIDA
forbidden_archetype3 = LADRON
forbidden_archetype4 = BARDO
iron_ingot = 33
smithing_skill = 30

[OBJ402]
name = Espada Mata Dragones
graphic_index = 716
object_type = 2
equipped_weapon_graphic = 15
RazaEnanaAnim = 65
min_hit = 100
max_hit = 100
value = 188000
respawnable = 0
forbidden_archetype1 = MAGO
forbidden_archetype2 = DRUIDA
forbidden_archetype3 = LADRON
forbidden_archetype4 = BARDO
forbidden_archetype5 = TRABAJADOR
iron_ingot = 500
silver_ingot = 400
gold_ingot = 300
smithing_skill = 100
Log = 1

[OBJ403]
name = Espada de Plata
graphic_index = 713
object_type = 2
equipped_weapon_graphic = 13
RazaEnanaAnim = 63
min_hit = 13
max_hit = 20
value = 36200
respawnable = 0
forbidden_archetype1 = MAGO
forbidden_archetype2 = CLERIGO
forbidden_archetype3 = DRUIDA
forbidden_archetype4 = LADRON
forbidden_archetype5 = BARDO
forbidden_archetype6 = PIRATA
forbidden_archetype7 = CAZADOR
forbidden_archetype8 = ASESINO
forbidden_archetype9 = BANDIDO
forbidden_archetype10 = TRABAJADOR
iron_ingot = 140
silver_ingot = 220
smithing_skill = 90

[OBJ404]
name = Escudo de Tortuga
graphic_index = 712
object_type = 16
equipped_armor_graphic = 2
equipped_weapon_graphic = 3
max_armor_defense = 1
min_armor_defense = 1
value = 350
forbidden_archetype1 = MAGO
forbidden_archetype2 = DRUIDA
forbidden_archetype3 = PIRATA
forbidden_archetype4 = LADRON
iron_ingot = 5
smithing_skill = 20

[OBJ405]
name = Casco de Plata
graphic_index = 717
object_type = 17
equipped_armor_graphic = 2
equipped_weapon_graphic = 8
max_armor_defense = 25
min_armor_defense = 20
value = 26100
respawnable = 0
forbidden_archetype1 = MAGO
forbidden_archetype2 = DRUIDA
forbidden_archetype3 = LADRON
forbidden_archetype4 = BARDO
forbidden_archetype5 = PIRATA
iron_ingot = 150
silver_ingot = 130
smithing_skill = 85

[OBJ406]
name = Gema Lunar
graphic_index = 700
object_type = 29
respawnable = 0

[OBJ407]
name = Gema Azul
graphic_index = 701
object_type = 29
respawnable = 0

[OBJ408]
name = Gema Naranja
graphic_index = 702
object_type = 29
respawnable = 0

[OBJ409]
name = Gema Celeste
graphic_index = 703
object_type = 29
respawnable = 0

[OBJ410]
name = Gema Lila
graphic_index = 704
object_type = 29
respawnable = 0

[OBJ411]
name = Gema Roja
graphic_index = 705
object_type = 29
respawnable = 0

[OBJ412]
name = Gema Verde
graphic_index = 706
object_type = 29
respawnable = 0

[OBJ413]
name = Gema Violeta
graphic_index = 707
object_type = 29
respawnable = 0

[OBJ414]
name = Piel Lobo
graphic_index = 697
object_type = 30
value = 21
respawnable = 0

[OBJ415]
name = Piel Oso Pardo
graphic_index = 699
object_type = 30
value = 51
respawnable = 0

[OBJ416]
name = Piel Oso Polar
graphic_index = 698
object_type = 30
value = 100
respawnable = 0

## Casas de Lindos ##

# Casa 1 de Lindos
[OBJ417]
name = Puerta de madera abierta
graphic_index = 5592
object_type = 6
pickupable = 0
key = 50
open_index = 417
closed_index = 418
IndexCerradaLlave = 419

[OBJ418]
name = Puerta de madera cerrada
graphic_index = 5593
object_type = 6
pickupable = 0
key = 50
open_index = 417
closed_index = 418
IndexCerradaLlave = 419

[OBJ419]
name = Puerta de madera cerrada
graphic_index = 5593
object_type = 6
pickupable = 0
locked = 1
key = 50
open_index = 417
closed_index = 418
IndexCerradaLlave = 419

[OBJ420]
name = Llave Lindos Casa Nro 1
graphic_index = 509
object_type = 9
key = 50
value = 1800000
respawnable = 0

# Casa 2 de Lindos
[OBJ421]
name = Puerta de madera abierta
graphic_index = 5592
object_type = 6
pickupable = 0
key = 51
open_index = 421
closed_index = 422
IndexCerradaLlave = 423

[OBJ422]
name = Puerta de madera cerrada
graphic_index = 5593
object_type = 6
pickupable = 0
key = 51
open_index = 421
closed_index = 422
IndexCerradaLlave = 423

[OBJ423]
name = Puerta de madera cerrada
graphic_index = 5593
object_type = 6
pickupable = 0
locked = 1
key = 51
open_index = 421
closed_index = 422
IndexCerradaLlave = 423

[OBJ424]
name = Llave Lindos Casa Nro 2
graphic_index = 509
object_type = 9
key = 51
value = 1800000
respawnable = 0

# Casa 3 de Lindos
[OBJ425]
name = Puerta de madera abierta
graphic_index = 5592
object_type = 6
pickupable = 0
key = 52
open_index = 425
closed_index = 426
IndexCerradaLlave = 427

[OBJ426]
name = Puerta de madera cerrada
graphic_index = 5593
object_type = 6
pickupable = 0
key = 52
open_index = 425
closed_index = 426
IndexCerradaLlave = 427

[OBJ427]
name = Puerta de madera cerrada
graphic_index = 5593
object_type = 6
pickupable = 0
locked = 1
key = 52
open_index = 425
closed_index = 426
IndexCerradaLlave = 427

[OBJ428]
name = Llave Lindos Casa Nro 3
graphic_index = 509
object_type = 9
key = 52
value = 1800000
respawnable = 0

# Casa 4 de Lindos
[OBJ429]
name = Puerta de madera abierta
graphic_index = 5592
object_type = 6
pickupable = 0
key = 53
open_index = 429
closed_index = 430
IndexCerradaLlave = 431

[OBJ430]
name = Puerta de madera cerrada
graphic_index = 5593
object_type = 6
pickupable = 0
key = 53
open_index = 429
closed_index = 430
IndexCerradaLlave = 431

[OBJ431]
name = Puerta de madera cerrada
graphic_index = 5593
object_type = 6
pickupable = 0
locked = 1
key = 53
open_index = 429
closed_index = 430
IndexCerradaLlave = 431

[OBJ432]
name = Llave Lindos Casa Nro 4
graphic_index = 509
object_type = 9
key = 53
value = 1000000
respawnable = 0

# Casa 5 de Lindos
[OBJ433]
name = Puerta de madera abierta
graphic_index = 5592
object_type = 6
pickupable = 0
key = 54
open_index = 433
closed_index = 434
IndexCerradaLlave = 435

[OBJ434]
name = Puerta de madera cerrada
graphic_index = 5593
object_type = 6
pickupable = 0
key = 54
open_index = 433
closed_index = 434
IndexCerradaLlave = 435

[OBJ435]
name = Puerta de madera cerrada
graphic_index = 5593
object_type = 6
pickupable = 0
locked = 1
key = 54
open_index = 433
closed_index = 434
IndexCerradaLlave = 435

[OBJ436]
name = Llave Lindos Casa Nro 5
graphic_index = 509
object_type = 9
key = 54
value = 1000000
respawnable = 0

# Casa 6 de Lindos
[OBJ437]
name = Puerta de madera abierta
graphic_index = 5592
object_type = 6
pickupable = 0
key = 55
open_index = 437
closed_index = 438
IndexCerradaLlave = 439

[OBJ438]
name = Puerta de madera cerrada
graphic_index = 5593
object_type = 6
pickupable = 0
key = 55
open_index = 437
closed_index = 438
IndexCerradaLlave = 439

[OBJ439]
name = Puerta de madera cerrada
graphic_index = 5593
object_type = 6
pickupable = 0
locked = 1
key = 55
open_index = 437
closed_index = 438
IndexCerradaLlave = 439

[OBJ440]
name = Llave Lindos Casa Nro 6
graphic_index = 509
object_type = 9
key = 55
value = 1000000
respawnable = 0

# Abadia de Lindos
[OBJ441]
name = Puerta de madera abierta
graphic_index = 9203
object_type = 6
pickupable = 0
key = 56
open_index = 441
closed_index = 442
IndexCerradaLlave = 443

[OBJ442]
name = Puerta de madera cerrada
graphic_index = 9197
object_type = 6
pickupable = 0
key = 56
open_index = 441
closed_index = 442
IndexCerradaLlave = 443

[OBJ443]
name = Puerta de madera cerrada
graphic_index = 9197
object_type = 6
pickupable = 0
locked = 1
key = 56
open_index = 441
closed_index = 442
IndexCerradaLlave = 443

[OBJ444]
name = Llave Abadia de Lindos
graphic_index = 509
object_type = 9
key = 56
value = 20000000
respawnable = 0

# Vault Abadia
[OBJ445]
name = Puerta de madera abierta
graphic_index = 9203
object_type = 6
pickupable = 0
key = 57
open_index = 445
closed_index = 446
IndexCerradaLlave = 447

[OBJ446]
name = Puerta de madera cerrada
graphic_index = 9197
object_type = 6
pickupable = 0
key = 57
open_index = 445
closed_index = 446
IndexCerradaLlave = 447

[OBJ447]
name = Puerta de madera cerrada
graphic_index = 9197
object_type = 6
pickupable = 0
locked = 1
key = 57
open_index = 445
closed_index = 446
IndexCerradaLlave = 447

[OBJ448]
name = Llave Vault de la Abadia de Lindos
graphic_index = 509
object_type = 9
key = 57
respawnable = 0

## Prision de Banderbill ##

[OBJ449]
name = Puerta de madera abierta
graphic_index = 9202
object_type = 6
pickupable = 0
key = 58
open_index = 449
closed_index = 450
IndexCerradaLlave = 451

[OBJ450]
name = Puerta de madera cerrada
graphic_index = 9196
object_type = 6
pickupable = 0
key = 58
open_index = 449
closed_index = 450
IndexCerradaLlave = 451

[OBJ451]
name = Puerta de madera cerrada
graphic_index = 9196
object_type = 6
pickupable = 0
locked = 1
key = 58
open_index = 449
closed_index = 450
IndexCerradaLlave = 451

[OBJ452]
name = Llave Prision de Banderbill
graphic_index = 509
object_type = 9
key = 58
respawnable = 0

